municipality_code,state_code,year,total_hospitalizations,total_deaths,population,avg_wage_nominal,literacy_rate,pct_black_parda
110001,11,2008,2509,138,24577,762.8246660117862,NA,0.5417947771901775
110002,11,2008,4081,433,84581,879.4788155692011,92.5,0.6232706908382584
110004,11,2008,4868,356,78263,873.9221785237164,92,0.5504040725421572
110005,11,2008,1704,81,16784,784.1519235588959,89.9,0.5113916617733412
110011,11,2008,2378,251,53955,851.345805350807,89.8,0.6527323770334192
110012,11,2008,8458,617,110707,828.067206976404,92.3,0.5769524315887866
110013,11,2008,1655,117,32214,836.4544918998512,89.4,0.6772225077081192
110018,11,2008,2661,55,33803,760.0303521126812,91.8,0.5692280400910623
110028,11,2008,4221,75,50249,783.70115896925,91,0.5885012537266283
110030,11,2008,5015,292,68405,905.9801885726409,94.1,0.5412647796018529
110034,11,2008,1011,86,17009,604.7760014781963,88.1,0.6279814880740477
110037,11,2008,325,30,11962,810.2393980848152,87.4,0.6254973862838418
110045,11,2008,360,83,33879,760.3070912476701,91.5,0.6193799407114624
110050,11,2008,559,30,9966,723.7737587412586,87,0.5601015525827556
110070,11,2008,461,35,12790,813.1577532228355,89.4,0.6472445918206221
110080,11,2008,439,65,17147,784.8117712811678,90.9,0.7420121334681496
110090,11,2008,139,7,3737,693.9528152492663,87.2,0.58417225950783
110140,11,2008,1629,58,12710,774.2477629063097,87.3,0.6303576497303435
110150,11,2008,775,51,12088,705.6216032608692,90.2,0.5785898538263112
110170,11,2008,422,44,13785,929.3944817927163,87,0.6245857418111753
110175,11,2008,170,22,8981,912.5556513026048,86.3,0.7017581246670218
120001,12,2008,622,30,11987,746.1686720000006,86.9,0.7195151128479145
120005,12,2008,433,17,5559,885.5286046511624,80.5,0.6196278610242055
120010,12,2008,1220,87,19829,646.0237917860543,84.9,0.7408290107014347
120013,12,2008,272,14,6745,696.8153734061925,80.7,0.7559017941454202
120017,12,2008,319,21,8897,847.8837379576106,83.3,0.837708830548926
120025,12,2008,635,42,13960,701.801417748915,86.5,0.7605456592278657
120032,12,2008,52,9,6333,572.3759537572255,72.9,0.5364852538765582
120033,12,2008,863,33,14387,852.0139942528734,81.8,0.7483395804563687
120038,12,2008,1158,66,17921,826.1169173859415,85,0.726554328878559
120039,12,2008,231,28,8562,705.6616871165646,72.3,0.6709164214885038
120042,12,2008,1026,33,13020,749.473677884615,76.5,0.7895760945100765
120045,12,2008,1064,80,19506,741.3672573839655,85.4,0.800396432111001
120060,12,2008,2042,157,33368,682.4520707070707,73.3,0.7142536034390716
120080,12,2008,602,39,14309,848.3894148936159,80.8,0.7804583025334318
130002,13,2008,394,34,13445,603.3358269230773,80.9,0.7977145290652282
130010,13,2008,676,44,14386,836.3511203319506,82.9,0.8117416350042898
130014,13,2008,975,54,18170,817.6400547945195,91.5,0.6020102176810307
130030,13,2008,1539,73,31107,725.1995959595962,86.2,0.5671521035598706
130040,13,2008,733,30,25318,967.2477027027028,67.2,0.6656168591313815
130090,13,2008,334,32,11844,1151.830909090909,74.6,0.7669361802339273
130115,13,2008,107,55,24030,732.8360120845925,87.7,0.7882662655133509
130120,13,2008,4743,236,67055,3022.3578879175952,84.7,0.825987941974041
130130,13,2008,1210,33,16418,827.9007460733002,83.1,0.8562071788684449
130140,13,2008,1287,130,30473,531.2826967930029,70.7,0.7228852801147851
130150,13,2008,634,54,17148,693.8056241426603,71.3,0.6791113287226881
130160,13,2008,2044,52,19783,1629.8352941176474,76.9,0.8456919975457972
130170,13,2008,1844,140,40027,708.272463845746,84.7,0.7527132133490096
130185,13,2008,1290,111,33834,665.8144507702565,88.3,0.8020204992398607
130190,13,2008,4747,294,87896,860.4965165779879,92,0.8041340396130815
130210,13,2008,49,12,5025,676.7994886363639,73.1,0.6907329056912789
130220,13,2008,400,19,9032,702.7924436090237,70.4,0.7538646672220679
130230,13,2008,774,23,17337,1006.2214285714286,71.3,0.7026621463902629
130240,13,2008,1491,127,38451,856.256515978179,74.6,0.7013421038671689
130270,13,2008,2140,102,45996,838.6902783505163,84.7,0.6945637840826917
130280,13,2008,871,30,18051,647.4824632352936,83.1,0.8002167836157226
130330,13,2008,1012,44,18796,791.6658755760366,81.1,0.8705948163341414
130340,13,2008,5728,360,105742,730.2365721120974,94.5,0.8615853539016406
130350,13,2008,368,39,18938,527.2019727891156,70.9,0.6604832938845159
130353,13,2008,1213,84,25474,1215.2437413749074,93.3,0.7561083308801884
130360,13,2008,267,73,17780,717.2506698564597,65.4,0.28715490163663415
130370,13,2008,631,47,30176,809.2732247556999,77,0.6421044032350298
130380,13,2008,1206,212,40806,833.5961899502977,84.3,0.16964403514790088
130390,13,2008,1230,59,32067,1336.8783333333333,76.9,0.451898291060688
130406,13,2008,608,196,47051,806.8234816035133,84.2,0.5874351959902818
130420,13,2008,3862,141,64703,781.6455705009259,87.3,0.8279526149640382
130423,13,2008,658,12,19858,538.8247603833863,79.5,0.7392857142857143
130430,13,2008,906,39,16035,600.3778250000013,92.6,0.8398947060544019
140005,14,2008,1054,46,14562,622.4388213627993,59.6,0.42622651832938174
140010,14,2008,17235,986,260930,1525.087812876757,95,0.7113473131819045
140015,14,2008,590,34,10604,719.0017773437488,88,0.4756944444444444
140017,14,2008,563,34,11638,855.5628025477706,87.3,0.7342300222973459
140020,14,2008,852,61,18789,777.3596957671924,89.4,0.810967987390619
140023,14,2008,578,25,7400,493.1530601092903,90.4,0.7060998151571165
140028,14,2008,203,26,6118,619.9301090909103,73.2,0.6428653558698402
140045,14,2008,730,43,9019,751.2970099009904,91.1,0.32806210465784935
140047,14,2008,752,59,25714,606.0461027190329,88.3,0.7594728171334432
140050,14,2008,363,14,5945,849.9425274725273,90.3,0.7231905465288035
140070,14,2008,291,41,7742,646.6274015748033,71.9,0.10506208213944604
150030,15,2008,1779,53,32368,860.5273915558157,75.5,0.8113175241845733
150034,15,2008,1816,42,30389,787.975456417294,91.3,0.6941894804054594
150060,15,2008,11511,425,96842,782.3196251811978,89.5,0.7000888207032985
150080,15,2008,37176,2018,495480,817.1830965207798,96.7,0.752398931312913
150095,15,2008,1642,45,22092,860.3965750286366,80.4,0.8050627189512939
150100,15,2008,101,38,19839,754.1775946275939,88.5,0.7609463722397476
150110,15,2008,251,64,19780,630.1034836065572,77.4,0.804776869893149
150120,15,2008,1331,33,27652,738.1650965517223,87.3,0.8352628582273677
150125,15,2008,189,8,3935,739.3170772946864,84.9,0.666958041958042
150140,15,2008,86588,7669,1424120,1469.9953851185928,96.7,0.7223065882015215
150157,15,2008,1534,62,13559,901.5708979591831,83.2,0.7473691090920975
150170,15,2008,15278,503,105908,752.0306699232387,88,0.8611209241530363
150172,15,2008,2557,59,19531,786.1677763659452,86.8,0.6926263463131731
150175,15,2008,549,32,7673,506.78394190871336,84,0.7846406121891227
150190,15,2008,2675,91,23429,467.1169576059863,87.2,0.8505993150684932
150195,15,2008,884,43,18481,595.3614285714289,77.3,0.9002454219369455
150200,15,2008,1200,50,19996,648.0182352941158,89.4,0.8889649774995109
150220,15,2008,5011,239,63799,758.7365005370611,89,0.743384663733501
150240,15,2008,12812,794,159110,679.310554096207,93.4,0.7497198960438926
150250,15,2008,231,20,20228,657.7196354166668,77.7,0.8839855279443969
150260,15,2008,289,38,11367,687.4697744360906,91.4,0.7903707608504656
150276,15,2008,266,30,11348,762.3455839416067,79.6,0.6743097353587465
150290,15,2008,1133,114,35790,699.4663513513477,90.9,0.829625309811926
150307,15,2008,1456,79,25436,640.3696666666668,77.7,0.8566007589374875
150309,15,2008,2554,158,28583,711.1444672833131,82.4,0.7421559286394849
150310,15,2008,1261,45,25306,647.4415586914674,78.2,0.7899390978219729
150320,15,2008,1564,140,35005,558.9540690005077,87.9,0.7964500668747213
150330,15,2008,7684,183,56639,772.914769585255,83.1,0.7685354178862909
150345,15,2008,2555,73,42636,986.4146073298402,83.1,0.83377509257454685
150360,15,2008,9370,438,124865,918.2300111234717,89.2,0.7460048823517345
150380,15,2008,6023,254,54513,778.7163695001143,86.8,0.7527696111835829
150400,15,2008,1714,47,24483,645.844122137404,86.2,0.8101670529933659
150420,15,2008,12594,1191,199946,966.3248644978015,90.3,0.7764839303290966
150442,15,2008,6355,460,98746,884.2737686985904,95.4,0.76431679399891
150450,15,2008,318,53,17989,878.4157642487054,65.2,0.8437260671530493
150460,15,2008,1271,70,24328,781.2632000000006,88.5,0.7672826574891516
150497,15,2008,495,82,14808,776.6241787439612,82.6,0.8185170012290045
150503,15,2008,1836,128,21843,751.9792777413005,93.3,0.5429651741293532
150506,15,2008,2964,235,54506,867.7436226415091,84,0.7657894312742743
150530,15,2008,3035,222,57765,1357.8921494102274,89.8,0.7980730949916395
150540,15,2008,1802,51,15719,720.6174305555558,83.7,0.8559955860716038
150543,15,2008,1940,99,21171,1433.892311276798,88.2,0.7304824561403509
150550,15,2008,6407,397,95479,726.5146069494994,90,0.7731854426497649
150555,15,2008,850,23,6583,711.1102953586487,80.5,0.7238979118329466
150560,15,2008,490,26,7908,756.420579710145,83.5,0.7394016549968173
150563,15,2008,893,31,13106,754.3812475247518,82.8,0.7785478028035911
150580,15,2008,1880,103,47967,890.7553151065833,71,0.8351637820328522
150590,15,2008,2557,65,27689,713.4626190476179,80.3,0.8585269605677769
150600,15,2008,1079,59,26866,807.8229166666622,86.1,0.8734582623509369
150611,15,2008,549,37,13232,682.4270841487273,83.2,0.7426683854334515
150616,15,2008,2029,81,17457,764.1459693318744,86.7,0.6873658040456548
150619,15,2008,1456,88,35033,730.5559838817962,85.8,0.7465575733386549
150620,15,2008,2511,144,38681,670.2479816980142,90.7,0.8251830474052696
150635,15,2008,873,65,14439,672.5029384756635,92.8,0.8291331233228328
150650,15,2008,5981,207,54464,765.889420579422,92,0.8071199152471118
150655,15,2008,1238,68,18523,676.1972121896148,80.6,0.7790990990990991
150658,15,2008,1167,50,17156,787.5864215080301,85.8,0.7362120067414424
150660,15,2008,2587,85,23001,709.4494321206729,84.5,0.7901593781213359
150670,15,2008,3784,144,52856,857.9195626093488,88.5,0.7632759910246821
150690,15,2008,362,14,6267,655.9332122905029,85.8,0.8624226636274829
150715,15,2008,2155,101,21889,708.0708201304714,83.3,0.7459686135489171
150720,15,2008,1776,78,27897,650.6668355416956,81.3,0.8773411063088418
150740,15,2008,756,73,11986,537.9192199488431,87.8,0.8259079742380984
150746,15,2008,170,28,4949,676.9892129629634,92.4,0.9183440941891379
150747,15,2008,2292,73,19691,700.3346419753098,83.2,0.8236148779542812
150750,15,2008,828,46,11963,630.1764661654136,79.1,0.8333079963514746
150760,15,2008,2821,222,44532,582.7543622393001,85.8,0.8861503257834316
150770,15,2008,985,67,21499,584.4245551128803,85,0.8096922069417157
150780,15,2008,609,27,14566,808.7330912476715,82.8,0.8279166027901272
150795,15,2008,4229,275,69581,832.695832994457,89.4,0.7497162601831068
150796,15,2008,493,49,10372,616.3253545232284,91.2,0.799084088473156
150797,15,2008,856,61,15885,589.3630867346902,92.7,0.7909144542772861
150800,15,2008,4008,191,48522,695.066440164466,86.6,0.795378545267963
150803,15,2008,2256,85,27374,751.488210735587,83.5,0.8817016317016317
150808,15,2008,2716,120,27491,842.4999930579652,90.4,0.6453355495532932
150810,15,2008,5372,397,94016,1278.9605163006283,91.7,0.7316764303143243
150812,15,2008,3406,64,34485,706.4751262135899,87.9,0.74394351898851
150820,15,2008,2986,215,45680,666.1039408866952,92,0.7733347254124034
150830,15,2008,4213,140,55144,714.2367542918468,83.1,0.8347232752084913
150835,15,2008,786,35,9809,773.5696054888509,87,0.7380881477069684
160010,16,2008,125,17,7745,876.9782550335557,91.4,0.8354399008674102
160015,16,2008,68,8,7800,2011.235296010296,83.9,0.7483523623874501
160020,16,2008,264,23,9060,597.092562674095,90.9,0.8017998000222197
160053,16,2008,861,34,14598,859.5316091953999,89.9,0.7773349196906604
160055,16,2008,47,4,3533,569.1482307692313,89.8,0.8748023194517659
160060,16,2008,5645,285,95733,1000.825255168818,90.6,0.7714762549006053
170040,17,2008,436,35,7692,638.8893167701862,81.4,0.8282588638460524
170100,17,2008,873,52,9615,602.40042836041,84.7,0.7290695317251166
170130,17,2008,265,21,5618,549.2037171052625,81.8,0.7516573176950535
170200,17,2008,1191,41,9244,668.7230425299879,87.7,0.6271765107545237
170215,17,2008,266,20,5154,737.4951758793967,84.9,0.763068972371298
170220,17,2008,2415,130,26722,935.8279533941205,83.8,0.7860517076284711
170230,17,2008,1001,33,7034,643.905764840182,86.2,0.751890849770132
170240,17,2008,1332,61,10928,790.632375886525,83,0.8961112154799925
170255,17,2008,2014,82,15248,689.0838038793098,81.2,0.771613065011598
170270,17,2008,86,12,3486,488.2144117647068,84,0.8189730200174065
170290,17,2008,808,60,9175,716.8024268502584,80,0.7686502802932298
