"Tabela 1383 - Taxa de alfabetização das pessoas de 10 anos ou mais de idade por sexo"
"Variável - Taxa de alfabetização das pessoas de 10 anos ou mais de idade (%)"
"Cód.","Município","Ano x Sexo"
"Cód.","Município","2010"
"Cód.","Município","Total","Homens","Mulheres"
"1100015","Alta Floresta D'Oeste (RO)","89.3","89.5","89.1"
"1100023","Ariquemes (RO)","92.8","93.1","92.5"
"1100031","Cabixi (RO)","87.8","88.4","87.1"
"1100049","Cacoal (RO)","92.5","93.0","92.0"
"1100056","Cerejeiras (RO)","90.7","91.5","89.9"
"1100064","Colorado do Oeste (RO)","88.8","89.7","87.9"
"1100072","Corumbiara (RO)","88.8","88.9","88.7"
"1100080","Costa Marques (RO)","92.5","92.6","92.3"
"1100098","Espigão D'Oeste (RO)","89.7","89.7","89.7"
"1100106","Guajará-Mirim (RO)","92.7","92.6","92.8"
"1100114","Jaru (RO)","90.3","90.9","89.8"
"1100122","Ji-Paraná (RO)","92.9","93.5","92.3"
"1100130","Machadinho D'Oeste (RO)","89.4","89.3","89.4"
"1100148","Nova Brasilândia D'Oeste (RO)","90.0","90.4","89.6"
"1100155","Ouro Preto do Oeste (RO)","90.6","91.1","90.2"
"1100189","Pimenta Bueno (RO)","92.5","93.2","91.8"
"1100205","Porto Velho (RO)","95.2","95.3","95.1"
"1100254","Presidente Médici (RO)","88.9","89.1","88.8"
"1100262","Rio Crespo (RO)","88.3","87.2","89.6"
"1100288","Rolim de Moura (RO)","91.8","92.5","91.0"
"1100296","Santa Luzia D'Oeste (RO)","88.3","88.7","87.9"
"1100304","Vilhena (RO)","94.5","94.9","94.1"
"1100320","São Miguel do Guaporé (RO)","90.4","90.9","90.0"
"1100338","Nova Mamoré (RO)","88.3","87.4","89.2"
"1100346","Alvorada D'Oeste (RO)","88.3","88.5","88.1"
"1100379","Alto Alegre dos Parecis (RO)","87.9","88.4","87.4"
"1100403","Alto Paraíso (RO)","89.6","89.6","89.6"
"1100452","Buritis (RO)","91.2","91.0","91.5"
"1100502","Novo Horizonte do Oeste (RO)","87.2","87.3","87.0"
"1100601","Cacaulândia (RO)","88.2","87.8","88.7"
"1100700","Campo Novo de Rondônia (RO)","89.0","88.7","89.4"
"1100809","Candeias do Jamari (RO)","90.1","89.3","90.9"
"1100908","Castanheiras (RO)","87.4","87.7","87.2"
"1100924","Chupinguaia (RO)","90.7","90.4","91.1"
"1100940","Cujubim (RO)","89.2","88.9","89.5"
"1101005","Governador Jorge Teixeira (RO)","88.2","88.0","88.3"
"1101104","Itapuã do Oeste (RO)","88.7","89.5","87.8"
"1101203","Ministro Andreazza (RO)","88.9","88.7","89.1"
"1101302","Mirante da Serra (RO)","88.1","87.9","88.4"
"1101401","Monte Negro (RO)","87.2","87.0","87.3"
"1101435","Nova União (RO)","87.9","88.4","87.3"
"1101450","Parecis (RO)","86.9","86.6","87.3"
"1101468","Pimenteiras do Oeste (RO)","91.6","91.5","91.6"
"1101476","Primavera de Rondônia (RO)","88.2","88.1","88.4"
"1101484","São Felipe D'Oeste (RO)","86.8","86.9","86.7"
"1101492","São Francisco do Guaporé (RO)","91.6","92.0","91.1"
"1101500","Seringueiras (RO)","90.7","91.2","90.2"
"1101559","Teixeirópolis (RO)","88.5","88.9","88.0"
"1101609","Theobroma (RO)","86.5","86.5","86.6"
"1101708","Urupá (RO)","87.2","87.5","87.0"
"1101757","Vale do Anari (RO)","86.6","86.9","86.3"
"1101807","Vale do Paraíso (RO)","88.5","88.4","88.5"
"1200013","Acrelândia (AC)","86.2","85.6","86.9"
"1200054","Assis Brasil (AC)","79.7","79.0","80.5"
"1200104","Brasiléia (AC)","83.8","82.8","84.9"
"1200138","Bujari (AC)","77.6","75.0","80.7"
"1200179","Capixaba (AC)","81.0","78.9","83.3"
"1200203","Cruzeiro do Sul (AC)","83.8","82.0","85.5"
"1200252","Epitaciolândia (AC)","85.4","84.3","86.5"
"1200302","Feijó (AC)","68.1","66.8","69.6"
"1200328","Jordão (AC)","74.4","75.8","72.9"
"1200336","Mâncio Lima (AC)","78.5","75.4","81.8"
"1200344","Manoel Urbano (AC)","69.2","67.7","70.9"
"1200351","Marechal Thaumaturgo (AC)","68.6","66.3","71.2"
"1200385","Plácido de Castro (AC)","83.7","82.4","85.0"
"1200393","Porto Walter (AC)","67.5","63.3","72.3"
